Symbol,Action,Price,Time
HDFCBANK,BUY,961.5999755859376,1358
HDFCBANK,SELL,962.3499755859376,1359
HDFCBANK,BUY,961.4000244140624,1360
HDFCBANK,SELL,964.0999755859376,1361
HDFCBANK,BUY,963.2000122070312,1363
HDFCBANK,SELL,963.5499877929688,1366
HDFCBANK,BUY,961.7000122070312,1380
HDFCBANK,SELL,963.75,1383
HDFCBANK,BUY,961.0,1417
HDFCBANK,SELL,961.2000122070312,1418
HDFCBANK,BUY,949.8499755859376,1446
HDFCBANK,SELL,951.2000122070312,1447
HDFCBANK,BUY,947.9500122070312,1478
HDFCBANK,SELL,949.5,1480
HDFCBANK,BUY,949.7000122070312,1486
HDFCBANK,SELL,948.4000244140624,1490
HDFCBANK,BUY,947.0,1496
HDFCBANK,SELL,948.1500244140624,1497
HDFCBANK,BUY,948.0999755859376,1504
HDFCBANK,SELL,948.5499877929688,1506
HDFCBANK,BUY,945.3499755859376,1517
HDFCBANK,SELL,948.0499877929688,1520
HDFCBANK,BUY,946.5499877929688,1557
HDFCBANK,SELL,947.4000244140624,1558
HDFCBANK,BUY,933.7999877929688,1622
HDFCBANK,SELL,935.5,1624
HDFCBANK,BUY,936.4000244140624,1629
HDFCBANK,SELL,936.4000244140624,1631
HDFCBANK,BUY,936.5999755859376,1645
HDFCBANK,SELL,938.75,1647
ICICIBANK,BUY,1365.4000244140625,1340
ICICIBANK,SELL,1371.699951171875,1347
ICICIBANK,BUY,1371.0,1349
ICICIBANK,SELL,1404.699951171875,1356
ICICIBANK,BUY,1406.199951171875,1365
ICICIBANK,SELL,1408.9000244140625,1366
ICICIBANK,BUY,1405.0,1385
ICICIBANK,SELL,1405.9000244140625,1386
ICICIBANK,BUY,1409.0999755859375,1396
ICICIBANK,SELL,1410.199951171875,1397
ICICIBANK,BUY,1409.0,1429
ICICIBANK,SELL,1423.5999755859375,1445
ICICIBANK,BUY,1425.0,1468
ICICIBANK,SELL,1425.9000244140625,1472
ICICIBANK,BUY,1423.199951171875,1479
ICICIBANK,SELL,1437.5,1503
ICICIBANK,BUY,1435.199951171875,1505
ICICIBANK,SELL,1438.4000244140625,1506
ICICIBANK,BUY,1433.0999755859375,1522
ICICIBANK,SELL,1434.199951171875,1523
ICICIBANK,BUY,1433.9000244140625,1556
ICICIBANK,SELL,1437.5,1561
ICICIBANK,BUY,1440.9000244140625,1568
ICICIBANK,SELL,1432.699951171875,1571
ICICIBANK,BUY,1403.5,1601
ICICIBANK,SELL,1403.0,1603
ICICIBANK,BUY,1402.9000244140625,1613
ICICIBANK,SELL,1405.5,1614
KOTAKBANK,BUY,2148.10009765625,1425
KOTAKBANK,SELL,2134.699951171875,1436
KOTAKBANK,BUY,2131.5,1441
KOTAKBANK,SELL,2129.800048828125,1444
KOTAKBANK,BUY,2113.699951171875,1466
KOTAKBANK,SELL,2127.39990234375,1503
KOTAKBANK,BUY,2126.5,1508
KOTAKBANK,SELL,2123.89990234375,1526
KOTAKBANK,BUY,2120.699951171875,1528
KOTAKBANK,SELL,2123.89990234375,1543
KOTAKBANK,BUY,2124.5,1544
KOTAKBANK,SELL,2133.89990234375,1573
KOTAKBANK,BUY,2129.199951171875,1576
KOTAKBANK,SELL,2123.39990234375,1579
KOTAKBANK,BUY,2128.0,1581
KOTAKBANK,SELL,2125.800048828125,1587
KOTAKBANK,BUY,2130.89990234375,1593
