Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS
Datetime,,,,,,
2025-12-10 03:45:00+00:00,993.8499755859375,993.8499755859375,1006.2000122070312,990.0,990.0,0
2025-12-10 03:50:00+00:00,993.5,993.5,995.0,991.0,993.7999877929688,229765
2025-12-10 03:55:00+00:00,992.7999877929688,992.7999877929688,993.8499755859375,991.4500122070312,993.25,90403
2025-12-10 04:00:00+00:00,992.2000122070312,992.2000122070312,993.7999877929688,991.0499877929688,992.2000122070312,87727
2025-12-10 04:05:00+00:00,995.2000122070312,995.2000122070312,996.5,991.5,991.7999877929688,81479
2025-12-10 04:10:00+00:00,995.5,995.5,996.5999755859375,994.25,995.5999755859375,52056
2025-12-10 04:15:00+00:00,996.2000122070312,996.2000122070312,996.5999755859375,995.0499877929688,995.0499877929688,47655
2025-12-10 04:20:00+00:00,995.9500122070312,995.9500122070312,998.0,995.4000244140625,996.5499877929688,97384
2025-12-10 04:25:00+00:00,997.5,997.5,999.4000244140625,991.7999877929688,995.0,197354
2025-12-10 04:30:00+00:00,1001.5499877929688,1001.5499877929688,1002.2000122070312,998.0999755859375,998.25,122501
2025-12-10 04:35:00+00:00,1003.0,1003.0,1003.9000244140625,1001.2000122070312,1001.5999755859375,114266
2025-12-10 04:40:00+00:00,1001.75,1001.75,1003.4000244140625,1000.5499877929688,1003.2999877929688,66145
2025-12-10 04:45:00+00:00,1001.75,1001.75,1002.8499755859375,1001.2000122070312,1001.5499877929688,47360
2025-12-10 04:50:00+00:00,1004.7000122070312,1004.7000122070312,1005.4000244140625,1001.0499877929688,1001.7999877929688,213835
2025-12-10 04:55:00+00:00,1005.0,1005.0,1006.5999755859375,1004.4500122070312,1004.7000122070312,83911
2025-12-10 05:00:00+00:00,1000.2999877929688,1000.2999877929688,1005.0,999.7999877929688,1005.0,124517
2025-12-10 05:05:00+00:00,999.4500122070312,999.4500122070312,1000.3499755859375,998.9000244140625,1000.3499755859375,58546
2025-12-10 05:10:00+00:00,1001.4000244140625,1001.4000244140625,1001.9500122070312,999.5,999.5,81953
2025-12-10 05:15:00+00:00,1001.0,1001.0,1002.0999755859375,1000.5999755859375,1001.25,105239
2025-12-10 05:20:00+00:00,1000.4500122070312,1000.4500122070312,1001.1500244140625,1000.4000244140625,1000.8499755859375,106628
2025-12-10 05:25:00+00:00,1000.4500122070312,1000.4500122070312,1002.75,1000.2999877929688,1000.4500122070312,79228
2025-12-10 05:30:00+00:00,1002.0,1002.0,1002.2999877929688,1000.2000122070312,1000.5,48825
2025-12-10 05:35:00+00:00,1003.5,1003.5,1003.5,1001.9500122070312,1002.0,40274
2025-12-10 05:40:00+00:00,1001.4000244140625,1001.4000244140625,1004.0,1001.3499755859375,1003.5499877929688,55564
2025-12-10 05:45:00+00:00,999.7999877929688,999.7999877929688,1002.25,999.5499877929688,1001.75,305930
2025-12-10 05:50:00+00:00,998.75,998.75,999.8499755859375,994.0999755859375,999.8499755859375,173593
2025-12-10 05:55:00+00:00,999.3499755859375,999.3499755859375,1000.0,998.0,998.7000122070312,207128
2025-12-10 06:00:00+00:00,998.2999877929688,998.2999877929688,999.7999877929688,998.1500244140625,999.25,73556
2025-12-10 06:05:00+00:00,998.9500122070312,998.9500122070312,999.75,998.1500244140625,998.2999877929688,68525
2025-12-10 06:10:00+00:00,999.1500244140625,999.1500244140625,999.7999877929688,998.2999877929688,999.0,65055
2025-12-10 06:15:00+00:00,1001.0,1001.0,1001.5,999.0,999.1500244140625,76544
2025-12-10 06:20:00+00:00,999.5999755859375,999.5999755859375,1001.5,999.0999755859375,1000.9500122070312,114736
2025-12-10 06:25:00+00:00,999.7000122070312,999.7000122070312,1000.0499877929688,999.25,999.5999755859375,31777
