Datetime,Close,High,Low,Open,Volume,SMA_20,SMA_50,Signal
2025-11-10 04:20:00+00:00,987.7999877929688,987.9000244140625,986.4000244140625,986.9500122070312,0,,,HOLD
2025-11-10 04:25:00+00:00,985.0999755859376,987.8499755859375,985.0499877929688,987.7999877929688,118941,,,HOLD
2025-11-10 04:30:00+00:00,984.0,985.75,983.5999755859375,985.0999755859375,110566,,,HOLD
2025-11-10 04:35:00+00:00,984.5999755859376,985.0,983.9000244140625,984.0,51935,,,HOLD
2025-11-10 04:40:00+00:00,986.3499755859376,986.3499755859375,984.1500244140625,984.5999755859375,103621,,,HOLD
2025-11-10 04:45:00+00:00,989.1500244140624,989.25,986.25,986.3499755859375,210225,,,HOLD
2025-11-10 04:50:00+00:00,990.1500244140624,990.5,989.0999755859375,989.1500244140625,377205,,,HOLD
2025-11-10 04:55:00+00:00,990.0499877929688,990.9500122070312,989.7999877929688,990.5,70815,,,HOLD
2025-11-10 05:00:00+00:00,990.4000244140624,990.5999755859375,989.7000122070312,990.0499877929688,118541,,,HOLD
2025-11-10 05:05:00+00:00,988.9500122070312,990.5,988.5999755859375,990.5,52895,,,HOLD
2025-11-10 05:10:00+00:00,989.1500244140624,989.1500244140625,988.7999877929688,988.9000244140625,25247,,,HOLD
2025-11-10 05:15:00+00:00,987.9500122070312,989.1500244140625,987.8499755859375,989.1500244140625,172769,,,HOLD
2025-11-10 05:20:00+00:00,987.8499755859376,988.9000244140625,986.9000244140625,987.9500122070312,121528,,,HOLD
2025-11-10 05:25:00+00:00,988.0999755859376,988.9500122070312,987.7000122070312,987.7000122070312,106510,,,HOLD
2025-11-10 05:30:00+00:00,990.0499877929688,990.0999755859375,988.0499877929688,988.0999755859375,458052,,,HOLD
2025-11-10 05:35:00+00:00,990.0999755859376,990.2999877929688,990.0,990.0,111680,,,HOLD
2025-11-10 05:40:00+00:00,990.0,990.2000122070312,989.3499755859375,990.0999755859375,119504,,,HOLD
